family,support_regime,method,pooled_r2,pooled_nrmse,median_entity_nrmse
thermodynamic_chart,four_support,gird_adam_selected,0.9999614336892092,0.006210177999925193,0.01923969203426127
thermodynamic_chart,four_support,gird_gn_lambda_0.0,0.9999614336892092,0.006210177999925193,0.01923969203426127
thermodynamic_chart,four_support,gird_gn_lambda_inf,0.9999202495647396,0.0089303099196194,0.020792606525205
thermodynamic_chart,four_support,gird_gn_selected,0.9999614336892092,0.006210177999925193,0.01923969203426127
thermodynamic_chart,four_support,global_no_q,-0.11181086383084571,1.0544244230056725,2.702054988324001
thermodynamic_chart,four_support,ordinary_symbolic_regression,0.9999585152767715,0.006440863546797284,0.019999487473746323
thermodynamic_chart,four_support,raw_q,0.9944592662030866,0.07443610546578464,0.09011026433700349
thermodynamic_chart,four_support,support_only_omp_lambda_0.0,0.9999614336892092,0.006210177999925193,0.01923969203426127
thermodynamic_chart,four_support,true_basis_lambda_0.0,0.9999691412868288,0.005555061941260601,0.01793445198254673
thermodynamic_chart,four_support,true_basis_lambda_inf,0.9999554467207289,0.006674824287658884,0.01780847512863251
