fold,label,offset,physical_intercept,physical_linear_temperature,physical_quadratic_temperature
2,50798,3,-0.015324367687029834,0.00032001566714149514,-3.062182864140656e-07
3,1178,0,0.002720575196045398,-3.623972709422844e-05,5.109453878360904e-07
3,1178,1,0.0027587489282348346,-4.3690841975014e-05,5.360118105677292e-07
3,1178,2,0.0031439802459438115,-4.79866351304095e-05,5.470765740464323e-07
3,1178,3,0.0027821583459380905,-3.989197388950985e-05,5.243815717832428e-07
3,2251,0,0.00030239428555152957,-1.3186750633873756e-05,7.331280916152177e-08
3,2251,1,0.00045325451634496954,-1.5621700239857413e-05,8.134495441367403e-08
3,2251,2,0.00023841232594786713,-1.054005098013042e-05,6.007616513709971e-08
3,2251,3,0.0003813816575388273,-1.3806367736324942e-05,7.432619629280354e-08
3,5044,0,-1.199781243522796,0.005809538248851123,-4.108779061469488e-06
3,5044,1,-1.2999863006174541,0.006188295162337992,-4.45014259486806e-06
3,5044,2,-1.3893224842057257,0.006507341192876441,-4.724511836147998e-06
3,5044,3,-1.4721294760034773,0.006805351935130648,-4.981083200315291e-06
3,6447,0,-0.0006782656442324009,-2.4081899245833465e-05,4.927454594623319e-07
3,6447,1,-0.0018339127786718978,-9.816474139895262e-06,4.641137924414449e-07
