regime,method,candidate_id,selected,expression_family,lambda,expected_query_rows,prediction_rows,finite_prediction_rows,coverage_complete,entity_count,finite_entity_count,physical_r2,rmse,mae,median_entity_nrmse,p90_entity_nrmse,p95_entity_nrmse,max_entity_nrmse,entity_r2_ge_0_85_count,entity_r2_finite_count,negative_prediction_count,negative_prediction_fraction,sse,sse_top1_fraction,sse_top3_fraction,sse_top5_fraction
prefix,expression,cubic_t__lambda_0.01,False,cubic_t,0.01,17897,17897,17897,True,247,247,-279.8714196637157,16991.237891403533,2312.4070411031225,3.707144519577545,76.49474564419558,120.90665037035373,21067.83513684287,36,247,4208,0.23512320500642567,5166902648477.336,0.8460309327165905,0.9265402184404478,0.9549338750420953
prefix,expression,cubic_t__lambda_1,False,cubic_t,1.0,17897,17897,17897,True,247,247,-291.63801301841016,17343.49483709478,1497.8459786278338,3.5573755437091825,46.249751505406834,75.47591563324329,4717.555801957386,19,247,890,0.049729004861149916,5383360565202.071,0.911998411972586,0.9770232488812944,0.986038333665489
prefix,expression,cubic_t__lambda_1e-06,False,cubic_t,1e-06,17897,17897,17897,True,247,247,-19223.62545213842,140572.44199477546,8840.899174501745,10.607570026643769,125.25321162566935,369.4496356449889,37509.75619081271,17,247,5324,0.297480024585126,353655663091558.6,0.9291877928534412,0.9905862070878292,0.9959692352856445
prefix,expression,cubic_t__lambda_1e-08,False,cubic_t,1e-08,17897,17897,17897,True,247,247,-19262.383563873384,140714.07229981353,8918.8298563714,15.12206253358606,125.26167353275241,432.2398188616007,37513.470518578804,11,247,5400,0.30172654634855006,354368656212799.44,0.9289858618777249,0.9902930566256961,0.995667096739756
prefix,expression,linear_t__lambda_0,False,linear_t,0.0,17897,17897,17897,True,247,247,0.2862973328105842,856.505005944359,82.96370956904522,0.9377691453575168,2.9676687698889963,4.563830388748012,18.79178660861592,62,247,209,0.011677934849416103,13129253968.74304,0.9091661186931121,0.9797901569160524,0.9844852162409172
prefix,expression,linear_t__lambda_0.0001,False,linear_t,0.0001,17897,17897,17897,True,247,247,0.28629757495433505,856.5048606476116,82.96304933018916,0.9377222133827989,2.9676169413581017,4.563775887549509,18.791653422006426,62,247,209,0.011677934849416103,13129249514.273487,0.9091664631176727,0.9797905398299577,0.9844855313436055
prefix,expression,linear_t__lambda_0.01,False,linear_t,0.01,17897,17897,17897,True,247,247,0.2863214997968563,856.4905045834277,82.89779281024556,0.9330836991687097,2.9624941132819123,4.558385369189734,18.778476190357168,62,247,209,0.011677934849416103,13128809393.55086,0.9092005006321858,0.9798283825664145,0.9845166657907457
prefix,expression,linear_t__lambda_1,False,linear_t,1.0,17897,17897,17897,True,247,247,0.28829670212815983,855.3044563873018,77.34990594615843,0.7973314687783107,2.5095584031487657,4.014149323232811,17.53832440145831,63,247,209,0.011677934849416103,13092473627.636656,0.9120681389190697,0.9830298518629119,0.9870949247572245
prefix,expression,linear_t__lambda_1e-06,False,linear_t,1e-06,17897,17897,17897,True,247,247,0.2862973352320701,856.5050044913627,82.9637029666104,0.9377686760300137,2.967668251595117,4.563829843730852,18.791785276742136,62,247,209,0.011677934849416103,13129253924.197454,0.9091661221374193,0.9797901607452583,0.9844852193920061
prefix,expression,linear_t__lambda_1e-08,False,linear_t,1e-08,17897,17897,17897,True,247,247,0.28629733283479974,856.5050059298287,82.96370950301973,0.9377691406642421,2.9676687647057736,4.563830383297774,18.791786595298035,62,247,209,0.011677934849416103,13129253968.297571,0.909166118727556,0.9797901569543453,0.9844852162724292
